AssessmentGroup,Campaign,Phase,Variant,MitreID,CapecId,Method,Status,Outcome,Outcome Path,Alert Severity,Alert Triggered,Activity Logged,Outcome Notes,Detection Recommendations,SourceIps,TargetAssets,ExpectedDetectionLayers,DetectingTools,Start Time,Start Time Epoch,Stop Time,Stop Time Epoch,Detection Time,Detection Time Epoch,Organizations,Tags,Objective,Command,References,Liklihood,Risk,Internal/External,Stealth,Attack Vector,Attack Complexity,Privileges Required,Attacker Tools
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      197736  0.0  0.0   2676  1512 pts/3    S+   12:16   0:00 sh -c ps aux | grep cups-pk-helperkali      197738  0.0  0.0   6520  2288 pts/3    S+   12:16   0:00 grep cups-pk-helper,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:15:35Z,1742746535,2025-03-23T16:16:19Z,1742746579,2025-03-23T16:16:19Z,1742746579,Internal,linux,Find user processes,ps aux | grep cups-pk-helper,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,197736,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      197981  0.0  0.0   2676  1716 pts/3    S+   12:16   0:00 sh -c ps aux | grep sslhkali      197983  0.0  0.0   6520  2192 pts/3    S+   12:16   0:00 grep sslh,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:16:21Z,1742746581,2025-03-23T16:16:49Z,1742746609,2025-03-23T16:16:49Z,1742746609,Internal,linux,Find user processes,ps aux | grep sslh,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,197981,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      198478  0.0  0.0   2676  1552 pts/3    S+   12:17   0:00 sh -c ps aux | grep Debian-snmpkali      198480  0.0  0.0   6520  2216 pts/3    S+   12:17   0:00 grep Debian-snmp,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:16:51Z,1742746611,2025-03-23T16:17:49Z,1742746669,2025-03-23T16:17:49Z,1742746669,Internal,linux,Find user processes,ps aux | grep Debian-snmp,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,198478,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali        1531  0.0  0.0 308448  6464 ?        Sl   07:50   0:00 /usr/libexec/geoclue-2.0/demos/agentkali      198754  0.0  0.0   2676  1692 pts/3    S+   12:18   0:00 sh -c ps aux | grep geocluekali      198756  0.0  0.0   6520  2272 pts/3    S+   12:18   0:00 grep geoclue,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:17:51Z,1742746671,2025-03-23T16:18:22Z,1742746702,2025-03-23T16:18:22Z,1742746702,Internal,linux,Find user processes,ps aux | grep geoclue,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,198754,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      199159  0.0  0.0   2676  1548 pts/3    S+   12:19   0:00 sh -c ps aux | grep stunnel4kali      199161  0.0  0.0   6520  2296 pts/3    S+   12:19   0:00 grep stunnel4,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:18:26Z,1742746706,2025-03-23T16:19:07Z,1742746747,2025-03-23T16:19:07Z,1742746747,Internal,linux,Find user processes,ps aux | grep stunnel4,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,199159,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      199509  0.0  0.0   2676  1528 pts/3    S+   12:19   0:00 sh -c ps aux | grep mysqlkali      199511  0.0  0.0   6520  2216 pts/3    S+   12:19   0:00 grep mysql,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:19:11Z,1742746751,2025-03-23T16:19:50Z,1742746790,2025-03-23T16:19:50Z,1742746790,Internal,linux,Find user processes,ps aux | grep mysql,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,199509,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Not Detected,,TBD,TBD,TBD,,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:19:51Z,1742746791,,,,,Internal,linux,Find user processes,ps aux | grep colord,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Not Detected,,TBD,TBD,TBD,,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:22:17Z,1742746937,,,,,Internal,linux,Find user processes,ps aux | grep #{host.user.name},https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,,
hack,New adversary,Discovery,Identify active user,T1033,,System Owner/User Discovery,Completed,Not Detected,,TBD,TBD,TBD,,"`System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Active Directory: Active Directory Object Access, Process: OS API Execution, Command: Command Execution, Network Traffic: Network Traffic Content, Process: Process Creation, Network Traffic: Network Traffic Flow, Windows Registry: Windows Registry Key Access, File: File Access, Process: Process Access",,,,,2025-03-23T16:22:26Z,1742746946,,,,,Internal,linux,Identify active user,whoami,https://attack.mitre.org/techniques/T1033,,,Internal,,sh,,,
hack,New adversary,Discovery,Identify active user,T1033,,System Owner/User Discovery,Completed,Not Detected,,TBD,TBD,TBD,,"`System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Active Directory: Active Directory Object Access, Process: OS API Execution, Command: Command Execution, Network Traffic: Network Traffic Content, Process: Process Creation, Network Traffic: Network Traffic Flow, Windows Registry: Windows Registry Key Access, File: File Access, Process: Process Access",,,,,2025-03-23T16:22:26Z,1742746946,,,,,Internal,linux,Identify active user,whoami,https://attack.mitre.org/techniques/T1033,,,Internal,,sh,,,
hack,New adversary,Discovery,Identify active user,T1033,,System Owner/User Discovery,Completed,Not Detected,,TBD,TBD,TBD,,"`System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Active Directory: Active Directory Object Access, Process: OS API Execution, Command: Command Execution, Network Traffic: Network Traffic Content, Process: Process Creation, Network Traffic: Network Traffic Flow, Windows Registry: Windows Registry Key Access, File: File Access, Process: Process Access",,,,,2025-03-23T16:22:26Z,1742746946,,,,,Internal,linux,Identify active user,whoami,https://attack.mitre.org/techniques/T1033,,,Internal,,sh,,,
hack,New adversary,Discovery,Identify active user,T1033,,System Owner/User Discovery,Completed,Not Detected,,TBD,TBD,TBD,,"`System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Active Directory: Active Directory Object Access, Process: OS API Execution, Command: Command Execution, Network Traffic: Network Traffic Content, Process: Process Creation, Network Traffic: Network Traffic Flow, Windows Registry: Windows Registry Key Access, File: File Access, Process: Process Access",,,,,2025-03-23T16:22:26Z,1742746946,,,,,Internal,linux,Identify active user,whoami,https://attack.mitre.org/techniques/T1033,,,Internal,,sh,,,
hack,New adversary,Discovery,Identify active user,T1033,,System Owner/User Discovery,Completed,Not Detected,,TBD,TBD,TBD,,"`System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Active Directory: Active Directory Object Access, Process: OS API Execution, Command: Command Execution, Network Traffic: Network Traffic Content, Process: Process Creation, Network Traffic: Network Traffic Flow, Windows Registry: Windows Registry Key Access, File: File Access, Process: Process Access",,,,,2025-03-23T16:22:26Z,1742746946,,,,,Internal,linux,Identify active user,whoami,https://attack.mitre.org/techniques/T1033,,,Internal,,sh,,,
hack,New adversary,Discovery,Identify active user,T1033,,System Owner/User Discovery,Completed,Not Detected,,TBD,TBD,TBD,,"`System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Active Directory: Active Directory Object Access, Process: OS API Execution, Command: Command Execution, Network Traffic: Network Traffic Content, Process: Process Creation, Network Traffic: Network Traffic Flow, Windows Registry: Windows Registry Key Access, File: File Access, Process: Process Access",,,,,2025-03-23T16:22:26Z,1742746946,,,,,Internal,linux,Identify active user,whoami,https://attack.mitre.org/techniques/T1033,,,Internal,,sh,,,
